"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"155","1927","492","Ferdinand Buisson","Peace","The Nobel Peace Prize",126501,3658946,"1/2","for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation","1927-12-10","1841-12-20",0
"156","1927","493","Ludwig Quidde","Peace","The Nobel Peace Prize",126501,3658946,"1/2","for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation","1927-12-10","1858-03-23",0
"157","1927","33","Arthur H. Compton","Physics","The Nobel Prize in Physics",126501,3658946,"1/2","for his discovery of the effect named after him",NA,"1892-09-10",0
"158","1927","34","C.T.R. Wilson","Physics","The Nobel Prize in Physics",126501,3658946,"1/2","for his method of making the paths of electrically charged particles visible by condensation of vapour",NA,"1869-02-14",0
"159","1927","317","Julius Wagner-Jauregg","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",126501,3658946,"1","for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica",NA,"1857-03-07",0
"160","1928","185","Adolf Windaus","Chemistry","The Nobel Prize in Chemistry",156939,4539342,"1","for the services rendered through his research into the constitution of the sterols and their connection with the vitamins",NA,"1876-12-25",0
"161","1928","601","Sigrid Undset","Literature","The Nobel Prize in Literature",156939,4539342,"1","principally for her powerful descriptions of Northern life during the Middle Ages",NA,"1882-05-20",0
"162","1928",NA,NA,"Peace","The Nobel Peace Prize",156939,4539342,NA,NA,NA,NA,0
"163","1928","35","Owen Willans Richardson","Physics","The Nobel Prize in Physics",156939,4539342,"1","for his work on the thermionic phenomenon and especially for the discovery of the law named after him",NA,"1879-04-26",0
"164","1928","318","Charles Nicolle","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",156939,4539342,"1","for his work on typhus",NA,"1866-09-21",0
"165","1929","186","Arthur Harden","Chemistry","The Nobel Prize in Chemistry",172760,4996952,"1/2","for their investigations on the fermentation of sugar and fermentative enzymes",NA,"1865-10-12",0
"166","1929","187","Hans von Euler-Chelpin","Chemistry","The Nobel Prize in Chemistry",172760,4996952,"1/2","for their investigations on the fermentation of sugar and fermentative enzymes",NA,"1873-02-15",0
"167","1929","602","Thomas Mann","Literature","The Nobel Prize in Literature",172760,4996952,"1","principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",NA,"1875-06-06",0
"168","1929","494","Frank B. Kellogg","Peace","The Nobel Peace Prize",172760,4996952,"1","for his crucial role in bringing about the Briand-Kellogg Pact","1930-12-10","1856-12-22",0
"169","1929","36","Louis de Broglie","Physics","The Nobel Prize in Physics",172760,4996952,"1","for his discovery of the wave nature of electrons",NA,"1892-08-15",0
"170","1929","319","Christiaan Eijkman","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",172760,4996952,"1/2","for his discovery of the antineuritic vitamin",NA,"1858-08-11",0
"171","1929","320","Sir Frederick Hopkins","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",172760,4996952,"1/2","for his discovery of the growth-stimulating vitamins",NA,"1861-06-20",0
"172","1930","188","Hans Fischer","Chemistry","The Nobel Prize in Chemistry",172947,5158685,"1","for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin",NA,"1881-07-27",0
"173","1930","603","Sinclair Lewis","Literature","The Nobel Prize in Literature",172947,5158685,"1","for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",NA,"1885-02-07",0
"174","1930","495","Nathan Söderblom","Peace","The Nobel Peace Prize",172947,5158685,"1","for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'","1930-12-10","1866-01-15",0
"175","1930","37","Sir Chandrasekhara Venkata Raman","Physics","The Nobel Prize in Physics",172947,5158685,"1","for his work on the scattering of light and for the discovery of the effect named after him",NA,"1888-11-07",0
"176","1930","321","Karl Landsteiner","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",172947,5158685,"1","for his discovery of human blood groups",NA,"1868-06-14",0
"177","1931","189","Carl Bosch","Chemistry","The Nobel Prize in Chemistry",173206,5333069,"1/2","in recognition of their contributions to the invention and development of chemical high pressure methods",NA,"1874-08-27",0
"178","1931","190","Friedrich Bergius","Chemistry","The Nobel Prize in Chemistry",173206,5333069,"1/2","in recognition of their contributions to the invention and development of chemical high pressure methods",NA,"1884-10-11",0
"179","1931","604","Erik Axel Karlfeldt","Literature","The Nobel Prize in Literature",173206,5333069,"1","The poetry of Erik Axel Karlfeldt",NA,"1864-07-20",0
"180","1931","496","Jane Addams","Peace","The Nobel Peace Prize",173206,5333069,"1/2","for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind","1931-12-10","1860-09-06",0
"181","1931","497","Nicholas Murray Butler","Peace","The Nobel Peace Prize",173206,5333069,"1/2","for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind","1931-12-10","1862-04-02",0
"182","1931",NA,NA,"Physics","The Nobel Prize in Physics",173206,5333069,NA,NA,NA,NA,0
"183","1931","322","Otto Warburg","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",173206,5333069,"1","for his discovery of the nature and mode of action of the respiratory enzyme",NA,"1883-10-08",0
"184","1932","191","Irving Langmuir","Chemistry","The Nobel Prize in Chemistry",171753,5375024,"1","for his discoveries and investigations in surface chemistry",NA,"1881-01-31",0
"185","1932","605","John Galsworthy","Literature","The Nobel Prize in Literature",171753,5375024,"1","for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>",NA,"1867-08-14",0
"186","1932",NA,NA,"Peace","The Nobel Peace Prize",171753,5375024,NA,NA,NA,NA,0
"187","1932","38","Werner Heisenberg","Physics","The Nobel Prize in Physics",171753,5375024,"1","for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",NA,"1901-12-05",0
"188","1932","323","Sir Charles Sherrington","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",171753,5375024,"1/2","for their discoveries regarding the functions of neurons",NA,"1857-11-27",0
"189","1932","324","Edgar Adrian","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",171753,5375024,"1/2","for their discoveries regarding the functions of neurons",NA,"1889-11-30",0
"190","1933",NA,NA,"Chemistry","The Nobel Prize in Chemistry",170332,5511251,NA,NA,NA,NA,0
"191","1933","606","Ivan Bunin","Literature","The Nobel Prize in Literature",170332,5511251,"1","for the strict artistry with which he has carried on the classical Russian traditions in prose writing",NA,"1870-10-22",0
"192","1933","498","Sir Norman Angell","Peace","The Nobel Peace Prize",170332,5511251,"1","for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace","1934-12-10","1872-12-26",0
"193","1933","39","Erwin Schrödinger","Physics","The Nobel Prize in Physics",170332,5511251,"1/2","for the discovery of new productive forms of atomic theory",NA,"1887-08-12",0
"194","1933","40","Paul A.M. Dirac","Physics","The Nobel Prize in Physics",170332,5511251,"1/2","for the discovery of new productive forms of atomic theory",NA,"1902-08-08",0
"195","1933","325","Thomas H. Morgan","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",170332,5511251,"1","for his discoveries concerning the role played by the chromosome in heredity",NA,"1866-09-25",0
"196","1934","192","Harold C. Urey","Chemistry","The Nobel Prize in Chemistry",162608,5261333,"1","for his discovery of heavy hydrogen",NA,"1893-04-29",0
"197","1934","607","Luigi Pirandello","Literature","The Nobel Prize in Literature",162608,5261333,"1","for his bold and ingenious revival of dramatic and scenic art",NA,"1867-06-28",0
"198","1934","499","Arthur Henderson","Peace","The Nobel Peace Prize",162608,5261333,"1","for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34","1934-12-10","1863-09-13",0
"199","1934",NA,NA,"Physics","The Nobel Prize in Physics",162608,5261333,NA,NA,NA,NA,0
"200","1934","326","George H. Whipple","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",162608,5261333,"1/3","for their discoveries concerning liver therapy in cases of anaemia",NA,"1878-08-28",0
"201","1934","327","George R. Minot","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",162608,5261333,"1/3","for their discoveries concerning liver therapy in cases of anaemia",NA,"1885-12-02",0
"202","1934","328","William P. Murphy","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",162608,5261333,"1/3","for their discoveries concerning liver therapy in cases of anaemia",NA,"1892-02-06",0
"203","1935","193","Frédéric Joliot","Chemistry","The Nobel Prize in Chemistry",159917,5088026,"1/2","in recognition of their synthesis of new radioactive elements",NA,"1900-03-19",0
"204","1935","194","Irène Joliot-Curie","Chemistry","The Nobel Prize in Chemistry",159917,5088026,"1/2","in recognition of their synthesis of new radioactive elements",NA,"1897-09-12",0
"205","1935",NA,NA,"Literature","The Nobel Prize in Literature",159917,5088026,NA,NA,NA,NA,0
"206","1935","500","Carl von Ossietzky","Peace","The Nobel Peace Prize",159917,5088026,"1","for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace","1936-11-24","1889-10-03",0
"207","1935","41","James Chadwick","Physics","The Nobel Prize in Physics",159917,5088026,"1","for the discovery of the neutron",NA,"1891-10-20",0
"208","1935","329","Hans Spemann","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",159917,5088026,"1","for his discovery of the organizer effect in embryonic development",NA,"1869-06-27",0
"209","1936","195","Peter Debye","Chemistry","The Nobel Prize in Chemistry",159850,5002519,"1","for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases",NA,"1884-03-24",0
"210","1936","608","Eugene O'Neill","Literature","The Nobel Prize in Literature",159850,5002519,"1","for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",NA,"1888-10-16",0
"211","1936","501","Carlos Saavedra Lamas","Peace","The Nobel Peace Prize",159850,5002519,"1","for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935","1936-11-24","1878-11-01",0
